segment	variable	group	num
MF	lac_cell_distance_metre_max_d28_circle_d168_avg_10_per	3.0	62732
MF	lac_cell_distance_metre_max_d28_circle_d168_avg_10_per	4.0	57652
MF	lac_cell_distance_metre_max_d28_circle_d168_avg_10_per	5.0	60291
MF	lac_cell_distance_metre_max_d28_circle_d168_avg_10_per	6.0	61510
MF	lac_cell_distance_metre_max_d28_circle_d168_avg_10_per	7.0	61985
MF	lac_cell_distance_metre_max_d28_circle_d168_avg_10_per	8.0	59261
MF	lac_cell_distance_metre_max_d28_circle_d168_avg_10_per	9.0	61213
MF	lifetime_days_count_per	0.0	63251
MF	lifetime_days_count_per	1.0	66234
MF	lifetime_days_count_per	2.0	60433
MF	lifetime_days_count_per	3.0	58132
MF	lifetime_days_count_per	4.0	64563
MF	lifetime_days_count_per	5.0	64134
MF	lifetime_days_count_per	6.0	60097
MF	lifetime_days_count_per	7.0	61348
MF	lifetime_days_count_per	8.0	71873
MF	lifetime_days_count_per	9.0	47171
MF	subs_device_lifetime_circle_d168_avg_10_per	0.0	70599
MF	subs_device_lifetime_circle_d168_avg_10_per	1.0	56832
MF	subs_device_lifetime_circle_d168_avg_10_per	2.0	65517
MF	subs_device_lifetime_circle_d168_avg_10_per	3.0	59308
MF	subs_device_lifetime_circle_d168_avg_10_per	4.0	59362
MF	subs_device_lifetime_circle_d168_avg_10_per	5.0	68211
MF	subs_device_lifetime_circle_d168_avg_10_per	6.0	55139
MF	subs_device_lifetime_circle_d168_avg_10_per	7.0	66761
MF	subs_device_lifetime_circle_d168_avg_10_per	8.0	55711
MF	subs_device_lifetime_circle_d168_avg_10_per	9.0	59796
MF	subs_device_lifetime_per	0.0	64013
MF	subs_device_lifetime_per	1.0	66509
MF	subs_device_lifetime_per	2.0	61193
MF	subs_device_lifetime_per	3.0	56729
MF	subs_device_lifetime_per	4.0	61108
MF	subs_device_lifetime_per	5.0	61423
MF	subs_device_lifetime_per	6.0	63336
MF	subs_device_lifetime_per	7.0	61544
MF	subs_device_lifetime_per	8.0	63987
MF	subs_device_lifetime_per	9.0	57394
MF	subs_lifetime_days_count_circle_d168_avg_10_per	0.0	69178
MF	subs_lifetime_days_count_circle_d168_avg_10_per	1.0	62754
MF	subs_lifetime_days_count_circle_d168_avg_10_per	2.0	63222
MF	subs_lifetime_days_count_circle_d168_avg_10_per	3.0	56521
MF	subs_lifetime_days_count_circle_d168_avg_10_per	4.0	66022
MF	subs_lifetime_days_count_circle_d168_avg_10_per	5.0	55314
MF	subs_lifetime_days_count_circle_d168_avg_10_per	6.0	60779
MF	subs_lifetime_days_count_circle_d168_avg_10_per	7.0	63770
MF	subs_lifetime_days_count_circle_d168_avg_10_per	8.0	59172
MF	subs_lifetime_days_count_circle_d168_avg_10_per	9.0	60504
MF	subs_lifetime_days_count_per	0.0	65646
MF	subs_lifetime_days_count_per	1.0	63274
MF	subs_lifetime_days_count_per	2.0	57600
MF	subs_lifetime_days_count_per	3.0	65671
MF	subs_lifetime_days_count_per	4.0	64907
MF	subs_lifetime_days_count_per	5.0	59967
MF	subs_lifetime_days_count_per	6.0	61810
MF	subs_lifetime_days_count_per	7.0	62306
MF	subs_lifetime_days_count_per	8.0	62061
MF	subs_lifetime_days_count_per	9.0	53994
MF	voice_sms_count_in_alltime_alldays_trend84_d168_per	0.0	66695
MF	voice_sms_count_in_alltime_alldays_trend84_d168_per	1.0	59506
MF	voice_sms_count_in_alltime_alldays_trend84_d168_per	2.0	65461
MF	voice_sms_count_in_alltime_alldays_trend84_d168_per	3.0	55797
MF	voice_sms_count_in_alltime_alldays_trend84_d168_per	4.0	67775
MF	voice_sms_count_in_alltime_alldays_trend84_d168_per	5.0	57237
MF	voice_sms_count_in_alltime_alldays_trend84_d168_per	6.0	69624
MF	voice_sms_count_in_alltime_alldays_trend84_d168_per	7.0	56961
MF	voice_sms_count_in_alltime_alldays_trend84_d168_per	8.0	60098
MF	voice_sms_count_in_alltime_alldays_trend84_d168_per	9.0	58082
MF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_1_dense_circle_d168_avg_10_per	0.0	65073
MF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_1_dense_circle_d168_avg_10_per	1.0	63311
MF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_1_dense_circle_d168_avg_10_per	2.0	63750
MF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_1_dense_circle_d168_avg_10_per	3.0	63802
MF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_1_dense_circle_d168_avg_10_per	4.0	60738
MF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_1_dense_circle_d168_avg_10_per	5.0	63137
MF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_1_dense_circle_d168_avg_10_per	6.0	55010
MF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_1_dense_circle_d168_avg_10_per	7.0	63550
MF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_1_dense_circle_d168_avg_10_per	8.0	58112
MF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_1_dense_circle_d168_avg_10_per	9.0	60753
MF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_21_dense_circle_d168_avg_10_per	0.0	410106
MF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_21_dense_circle_d168_avg_10_per	1.0	23575
MF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_21_dense_circle_d168_avg_10_per	2.0	67993
MF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_21_dense_circle_d168_avg_10_per	3.0	59953
MF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_21_dense_circle_d168_avg_10_per	4.0	55609
MF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_5_dense_circle_d168_avg_10_per	0.0	85039
MF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_5_dense_circle_d168_avg_10_per	1.0	43786
MF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_5_dense_circle_d168_avg_10_per	2.0	59420
MF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_5_dense_circle_d168_avg_10_per	3.0	68068
MF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_5_dense_circle_d168_avg_10_per	4.0	59937
MF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_5_dense_circle_d168_avg_10_per	5.0	63059
MF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_5_dense_circle_d168_avg_10_per	6.0	54404
MF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_5_dense_circle_d168_avg_10_per	7.0	61817
MF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_5_dense_circle_d168_avg_10_per	8.0	64542
MF	voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_5_dense_circle_d168_avg_10_per	9.0	57164
MF	voice_sms_count_in_out_alltime_alldays_trend28_d84_per	0.0	62081
MF	voice_sms_count_in_out_alltime_alldays_trend28_d84_per	1.0	72589
MF	voice_sms_count_in_out_alltime_alldays_trend28_d84_per	2.0	62583
MF	voice_sms_count_in_out_alltime_alldays_trend28_d84_per	3.0	56592
MF	voice_sms_count_in_out_alltime_alldays_trend28_d84_per	4.0	57286
MF	voice_sms_count_in_out_alltime_alldays_trend28_d84_per	5.0	72612
MF	voice_sms_count_in_out_alltime_alldays_trend28_d84_per	6.0	56167
MF	voice_sms_count_in_out_alltime_alldays_trend28_d84_per	7.0	60614
MF	voice_sms_count_in_out_alltime_alldays_trend28_d84_per	8.0	61510
MF	voice_sms_count_in_out_alltime_alldays_trend28_d84_per	9.0	55202
nMF	alltran_days_count_d28_circle_d168_avg_10_per	0.0	408206
nMF	alltran_days_count_d28_circle_d168_avg_10_per	1.0	183233
nMF	alltran_days_count_d28_circle_d168_avg_10_per	2.0	140773
nMF	alltran_days_count_d28_circle_d168_avg_10_per	3.0	171650
nMF	alltran_days_count_d28_circle_d168_avg_10_per	4.0	168462
nMF	alltran_days_count_d28_circle_d168_avg_10_per	5.0	161311
nMF	alltran_days_count_d28_circle_d168_avg_10_per	6.0	158979
nMF	alltran_days_count_d28_circle_d168_avg_10_per	7.0	166910
nMF	alltran_days_count_d28_circle_d168_avg_10_per	8.0	160714
nMF	alltran_days_count_d28_circle_d168_avg_10_per	9.0	143706
nMF	block_duration_seconds_m12_circle_d168_avg_10_per	0.0	407606
nMF	block_duration_seconds_m12_circle_d168_avg_10_per	1.0	167864
